ACC_MONTH,FISCAL_YEAR,ACCOUNTING_PERIOD,TOT_PAID,BUDGET_AMT,NBR_CASE,NBR_MURDER,NBR_OTHER,TOT_PAID_ADJUSTED,TOT_PAID_ADJUSTED_NEW_SLOPE,TOT_PAID_ADJUSTED_FINAL,BUDGET_AMT_LAG12,NBR_CASE_LAG11,TOT_PAID_ADJUSTED_LAGGED_FINAL
2022-01-31,2021,10,2330815.38,2716352.065,40,10,30,2928196.191959692,2968514.837966636,2743215.505817944,2419945.273,52.0,2747271.537026077
2022-02-28,2021,11,2421085.36,2439887.732,52,17,35,3021425.5437377794,3066563.771729873,2795634.3955350285,2147558.449,44.0,2658483.9799041417
2022-03-31,2021,12,2514404.64,2124246.626,53,20,33,3117704.1955158673,3167819.6420213827,2758764.4757754058,3074563.702,62.0,3113429.438757892
2022-04-30,2022,1,2446739.48,2909220.885,64,16,48,3052998.407293955,3099768.825165231,3039370.5908881733,2425264.835,45.0,2765410.4195222645
2022-05-31,2022,2,2441604.89,2064729.91,43,10,33,3050823.1890720427,3097481.156922417,2633795.449479701,2520745.955,56.0,2870042.8895057444
2022-06-30,2022,3,1925807.55,2442759.869,56,23,33,2537985.2208501296,2558131.5313114612,2571057.8240043116,2725533.554,55.0,2654792.3592998222
2022-07-31,2022,4,2033204.28,1084939.88,25,4,21,2648341.3226282177,2674192.5990679357,1998713.5774492612,2766974.401,53.0,2711231.1530771707
2022-08-31,2022,5,1928347.96,1887930.45,47,19,28,2546444.374406305,2567027.989035384,2344306.9351146733,2297292.832,51.0,2502720.3831600063
2022-09-30,2022,6,1548099.3,3137573.98,62,26,36,2169155.0861843927,2170234.3642282225,2628720.335130425,3165732.824,34.0,2445651.617648874
2022-10-31,2022,7,1858951.59,2047855.362,44,19,25,2482966.7479624804,2500268.8249745546,2337321.396000392,2340832.344,54.0,2503438.6460309243
2022-11-30,2022,8,1700787.46,3235523.19,56,18,38,2327761.9897405677,2337040.6058739657,2698341.357585564,3144961.21,35.0,2529835.2513721897
2022-12-31,2022,9,2132207.16,2131180.01,52,26,26,2762141.061518655,2793875.3261054605,2566677.8561228225,1478894.668,40.0,2293492.6343901586
2023-01-31,2022,10,2556658.3,2607551.54,40,14,26,3189551.5732967425,3243381.239852368,2848008.54926081,2716352.065,52.0,2973626.775568943
2023-02-28,2022,11,2066868.09,3052788.58,56,15,41,2702720.7350748307,2731383.2081129607,2840692.2757050614,2439887.732,53.0,2641700.4568996835
2023-03-31,2022,12,2386457.31,3042895.71,61,18,43,3025269.3268529186,3070606.2629503803,3043308.326596882,2124246.626,64.0,2793751.6206232794
2023-04-30,2023,1,2078173.5,1022852.888,32,10,22,2719944.888631006,2749497.781033913,2068101.4090946051,2909220.885,43.0,2721437.7182557173
2023-05-31,2023,2,2325673.15,3311208.47,63,22,41,2970403.910409093,3012904.525458975,3109340.2396404236,2064729.91,56.0,2690949.7602740233
2023-06-30,2023,3,1852175.06,3080543.12,52,21,31,2499865.1921871807,2518040.8507034606,2713569.5514218225,2442759.869,25.0,2339555.000482495
2023-07-31,2023,4,1921717.36,2217186.32,46,16,30,2572366.8639652682,2594290.566896002,2449520.50815036,1084939.88,47.0,2124597.7980885385
2023-08-31,2023,5,1446480.26,3877192.63,48,13,35,2100089.1357433554,2097597.9823277327,2713565.06265547,1887930.45,62.0,2222328.6333110672
2023-09-30,2023,6,2270045.94,3221570.367,54,26,28,2926614.1875214432,2966851.0502708014,2994671.7790947375,3137573.98,44.0,2905632.278474606
2023-10-31,2023,7,1786991.95,3113207.74,55,22,33,2446519.569299531,2461937.473973782,2716900.67974085,2047855.362,56.0,2410403.8701314265
2023-11-30,2023,8,2000769.8,2878958.81,45,19,26,2663256.7910776185,2689879.137160831,2688652.0633881525,3235523.19,52.0,2852627.0617231745
2023-12-31,2023,9,2054317.8,2104117.68,36,10,26,2719764.1628557057,2749307.7124639433,2421163.719988109,2131180.01,40.0,2466894.4301694
2024-01-31,2023,10,2576562.57,2843154.1,53,22,31,3244968.3046337934,3301662.792996437,3041358.293462933,2607551.54,56.0,2998175.383042754
2024-02-29,2023,11,2389917.93,3079523.66,58,22,36,3061283.0364118814,3108481.7362403832,3051651.0175580173,3052788.58,61.0,3070215.9521669485
2024-03-31,2023,12,1613714.32,2926001.911,54,23,31,2288038.798189969,2295263.8853141153,2570207.659816394,3042895.71,32.0,2457291.249790932
2024-04-30,2024,1,2487742.59,2391873.556,51,22,29,3165026.439968056,3217588.255910972,2849547.907930956,1022852.888,63.0,2529812.498603131
2024-05-31,2024,2,2581158.45,3131958.56,57,17,40,3261401.6717461436,3318945.698999485,3165418.9920429457,3311208.47,52.0,3189865.9266425017
2024-06-30,2024,3,1704088.77,3407866.06,54,14,40,2387291.363524231,2399647.408514561,2766958.666116617,3080543.12,46.0,2618945.1937973737
2024-07-31,2024,4,2315878.7,2726852.25,39,10,29,3002040.665302319,3046176.7731561726,2778002.05201809,2217186.32,48.0,2697226.8303190684
2024-08-31,2024,5,1710478.78,1792933.271,36,9,27,2399600.1170804063,2412592.475053371,2159450.778582823,3877192.63,54.0,2920508.556870333
2024-09-30,2024,6,1577852.82,2967290.695,37,10,27,2269933.528858494,2276222.6464811694,2450767.568391344,3221570.367,55.0,2662648.9607846765
2024-10-31,2024,7,1708064.91,2656318.21,64,20,44,2403104.9906365816,2416278.5364557495,2621754.644033433,3113207.74,45.0,2630048.1466675242
2024-11-30,2024,8,1326014.32,3417666.784,46,14,32,2024013.772414669,2017589.8291252581,2521314.278464988,2878958.81,36.0,2297321.1400982807
2024-12-31,2024,9,1659811.14,2071062.16,48,16,32,2360769.9641927565,2371754.9596584346,2308804.4103208208,2104117.68,53.0,2361155.3170724204
2025-01-31,2024,10,2131294.37,3073348.775,55,19,36,2835212.5659708437,2870724.3330262266,2909336.419767072,2843154.1,58.0,2867410.9152585375
2025-02-28,2024,11,2398968.34,3173980.76,50,18,32,3105845.907748931,3155348.328538765,3045865.62855023,3079523.66,54.0,3052585.7926130295
